Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-49,2023-08-16,2023-07-27,First Class,CUST-4420,Amit,Home Office,India,Bangalore,DL,North,PROD-629,Office Supplies,Chairs,Item C,,3,0.34,-133.73
ORD-50,2022-11-18,2021-09-13,Second Class,CUST-3068,Sneha,Consumer,India,Delhi,DL,West,PROD-613,Technology,Phones,Item B,467.8,5,0.39,-98.68
ORD-51,2023-08-16,2021-07-09,First Class,CUST-8159,Arjun,Corporate,India,Kolkata,WB,South,PROD-716,Technology,Binders,Item D,2892.04,3,0.21,45.91
ORD-52,2022-07-17,2021-11-27,First Class,CUST-5806,Rahul,Corporate,India,Delhi,DL,West,PROD-201,Furniture,Storage,Item B,4653.08,8,0.28,-399.68
ORD-53,2023-05-26,2022-06-30,Standard Class,CUST-7844,Rahul,Consumer,India,Bangalore,DL,North,PROD-281,Office Supplies,Chairs,Item D,402.54,3,0.03,85.04
ORD-54,2022-07-21,2023-02-24,Standard Class,CUST-9343,Arjun,Corporate,India,Delhi,WB,South,PROD-820,Technology,Chairs,Item D,3461.13,3,0.04,505.18
ORD-55,2021-09-01,2023-09-26,Second Class,CUST-4231,Priya,Corporate,India,Delhi,DL,South,PROD-955,Furniture,Chairs,Item A,,8,0.43,-655.91
ORD-56,2023-04-12,2022-02-03,First Class,CUST-3906,Amit,Consumer,India,Mumbai,DL,North,PROD-513,Furniture,Binders,Item D,3278.64,1,0.25,-183.22
ORD-57,2022-05-20,2022-06-03,Standard Class,CUST-4551,Arjun,Corporate,India,Bangalore,MH,North,PROD-590,Technology,Storage,Item B,1116.93,4,0.05,129.12
ORD-58,2021-11-05,2022-04-06,Standard Class,CUST-5191,Amit,Corporate,India,Delhi,MH,South,PROD-315,Furniture,Binders,Item B,399.02,3,0.04,4.44
ORD-59,2022-04-30,2021-11-28,Standard Class,CUST-4423,Sneha,Home Office,India,Bangalore,MH,East,PROD-871,Office Supplies,Binders,Item A,419.9,1,0.46,
ORD-60,2023-03-30,2023-04-02,Second Class,CUST-5057,Arjun,Corporate,India,Delhi,MH,West,PROD-618,Office Supplies,Chairs,Item C,1271.29,1,0.09,203.6
ORD-61,2022-10-09,2023-04-27,First Class,CUST-6194,Rahul,Home Office,India,Mumbai,KA,East,PROD-818,Office Supplies,Storage,Item D,1107.51,7,0.22,19.32
ORD-62,2021-01-21,2021-06-20,Standard Class,CUST-4665,Sneha,Home Office,India,Delhi,MH,South,PROD-668,Furniture,Chairs,Item D,675.47,4,0.39,-177.18
ORD-63,2023-04-21,2022-11-26,First Class,CUST-5735,Priya,Home Office,India,Kolkata,MH,East,PROD-641,Furniture,Binders,Item A,1360.18,5,0.43,-203.88
ORD-64,2021-06-16,2022-01-03,Second Class,CUST-7389,Amit,Consumer,India,,MH,North,PROD-350,Office Supplies,Phones,Item A,2693.17,2,0.43,-583.49
ORD-65,2021-10-01,2021-06-29,First Class,CUST-8882,Priya,Consumer,India,Mumbai,WB,West,PROD-832,Office Supplies,Phones,Item A,4750.09,3,0.44,-1210.49
ORD-66,2022-01-23,2022-10-19,Standard Class,CUST-6289,Rahul,Corporate,India,Delhi,MH,North,PROD-852,Technology,Binders,Item D,4615.23,1,0.08,519.92
ORD-67,2022-08-24,2021-12-30,First Class,CUST-8798,Neha,Home Office,India,Mumbai,KA,North,PROD-783,Office Supplies,Chairs,Item B,1394.98,4,,-48.95
ORD-68,2021-11-12,2023-02-01,First Class,CUST-4408,Neha,Corporate,India,Delhi,KA,North,PROD-344,Furniture,Chairs,Item C,377.74,8,0.33,-34.58
ORD-69,2021-01-14,2022-10-03,Second Class,CUST-2161,Amit,Corporate,India,Bangalore,KA,North,PROD-304,Technology,Storage,Item B,4978.39,3,0.45,-1283.38
ORD-70,2021-08-30,2023-02-16,Second Class,CUST-2259,Sneha,Corporate,India,Delhi,DL,West,PROD-587,Furniture,Storage,Item A,2408.22,1,0.21,-10.08
ORD-71,2023-02-16,2021-02-11,First Class,CUST-5090,Rahul,Corporate,India,Mumbai,WB,South,PROD-842,Furniture,Phones,Item D,4892.59,4,,-497.19
ORD-72,2021-12-12,2023-07-15,First Class,CUST-6690,Amit,Corporate,India,Kolkata,MH,South,PROD-957,Office Supplies,Chairs,Item B,2711.33,9,0.48,-782.95
ORD-73,2022-07-19,2022-02-22,First Class,CUST-3981,Sneha,Home Office,India,Mumbai,MH,West,PROD-135,Technology,Binders,Item C,4437.49,8,0.48,-1333.47
ORD-74,2023-06-17,2021-12-23,Second Class,CUST-9065,Amit,Home Office,India,Kolkata,DL,North,PROD-198,Furniture,Chairs,Item A,2263.74,3,0.33,-188.78
ORD-75,2021-12-06,2021-09-14,Second Class,CUST-4554,Amit,Home Office,India,,WB,East,PROD-468,Furniture,Chairs,Item C,3129.01,4,,-118.89
ORD-76,2021-04-02,2021-05-25,First Class,CUST-3389,Priya,Home Office,India,Bangalore,DL,South,PROD-357,Office Supplies,Binders,Item D,2701.91,5,0.29,-275.21
ORD-77,2022-01-02,2023-01-24,Second Class,CUST-9158,Arjun,Consumer,India,Mumbai,KA,North,PROD-600,Furniture,Phones,Item A,1138.39,7,0.45,-257.19
ORD-78,2023-08-14,2023-01-12,Standard Class,CUST-2014,Rahul,Home Office,India,Delhi,DL,East,PROD-753,Furniture,Binders,Item A,3830.8,1,0.35,-460.56
ORD-79,2022-03-31,2023-05-05,Second Class,CUST-6729,Priya,Home Office,India,Kolkata,WB,East,PROD-819,Office Supplies,Chairs,Item A,321.29,3,0.12,-17.53
ORD-80,2022-03-04,2022-12-13,Second Class,CUST-4713,Sneha,Home Office,India,Mumbai,DL,North,PROD-724,Office Supplies,Binders,Item C,1843.94,1,0.1,129.46
ORD-81,2022-05-24,2022-08-02,Second Class,CUST-2492,Arjun,Consumer,India,Bangalore,WB,West,PROD-711,Office Supplies,Storage,Item D,4356.02,3,0.08,557.87
ORD-82,2023-02-15,2023-06-21,Standard Class,CUST-8585,Amit,Corporate,India,Delhi,DL,North,PROD-203,Furniture,Storage,Item A,,6,0.3,-318.81
ORD-83,2023-08-01,2021-01-13,Standard Class,CUST-5122,Neha,Consumer,India,Delhi,WB,West,PROD-578,Technology,Storage,Item B,434.35,9,,-109.36
ORD-84,2021-02-04,2022-09-14,Standard Class,CUST-1454,Priya,Home Office,India,Delhi,MH,East,PROD-339,Furniture,Storage,Item A,1077.27,6,0.04,191.77
ORD-85,2021-07-25,2021-01-28,First Class,CUST-1917,Rahul,Home Office,India,Mumbai,KA,South,PROD-467,Technology,Binders,Item A,592.72,8,0.37,-94.92
ORD-86,2021-03-22,2023-08-17,First Class,CUST-7723,Rahul,Consumer,India,Mumbai,WB,West,PROD-852,Furniture,Phones,Item A,1424.28,4,0.28,-179.66
ORD-87,2023-07-21,2022-02-27,Standard Class,CUST-9205,Arjun,Corporate,India,,DL,West,PROD-390,Furniture,Phones,Item B,868.29,5,0.15,107.01
ORD-88,2022-07-16,2022-10-27,First Class,CUST-7241,Priya,Consumer,India,Bangalore,DL,West,PROD-248,Technology,Storage,Item B,3574.16,8,0.48,-1090.04
ORD-89,2023-05-22,2021-08-11,First Class,CUST-5374,Amit,Consumer,India,Delhi,KA,South,PROD-831,Furniture,Chairs,Item D,3314.16,1,0.25,
ORD-90,2022-01-23,2023-05-05,First Class,CUST-7059,Arjun,Home Office,India,Delhi,MH,North,PROD-500,Furniture,Binders,Item C,718.64,8,0.24,-37.02
ORD-91,2021-01-02,2022-05-13,Standard Class,CUST-1489,Sneha,Consumer,India,Bangalore,MH,East,PROD-597,Furniture,Chairs,Item A,2252.7,2,0.22,-23.84
ORD-92,2022-01-25,2021-08-27,Second Class,CUST-1984,Rahul,Consumer,India,Bangalore,MH,East,PROD-693,Furniture,Storage,Item C,1514.42,6,0.28,-113.21
ORD-93,2022-07-20,2021-08-27,Standard Class,CUST-1960,Sneha,Consumer,India,Bangalore,WB,West,PROD-387,Furniture,Binders,Item C,1719.22,4,0.02,266.07
ORD-94,2021-04-16,2021-08-09,Standard Class,CUST-9050,Priya,Consumer,India,Delhi,KA,East,PROD-762,Technology,Storage,Item A,2901.1,4,0.02,488.58
ORD-95,2023-02-11,2022-05-04,First Class,CUST-2782,Neha,Consumer,India,Bangalore,WB,West,PROD-233,Furniture,Binders,Item A,4498.51,5,,-160.2
ORD-96,2023-04-02,2023-07-27,First Class,CUST-6983,Sneha,Consumer,India,Mumbai,WB,South,PROD-896,Technology,Storage,Item B,4491.76,1,0.38,-771.26
ORD-97,2022-04-22,2022-04-08,Second Class,CUST-2869,Amit,Home Office,India,Bangalore,WB,West,PROD-930,Furniture,Phones,Item D,2094.46,4,0.26,-190.36
ORD-98,2022-12-04,2022-10-27,Second Class,CUST-3644,Rahul,Home Office,India,Delhi,WB,South,PROD-553,Office Supplies,Binders,Item B,1996.32,8,0.46,
ORD-99,2022-02-06,2022-09-29,Second Class,CUST-7838,Priya,Home Office,India,Kolkata,DL,West,PROD-324,Furniture,Phones,Item C,2613.98,9,0.32,-354.75
ORD-100,2022-12-31,2021-05-26,Second Class,CUST-5345,Neha,Home Office,India,Kolkata,DL,West,PROD-736,Office Supplies,Storage,Item A,2396.87,2,0.0,
ORD-101,2022-07-10,2023-09-19,Standard Class,CUST-6702,Rahul,Consumer,India,Mumbai,DL,South,PROD-707,Technology,Binders,Item C,355.84,6,0.22,-75.59
ORD-102,2021-06-11,2021-07-10,Second Class,CUST-9075,Neha,Consumer,India,,WB,North,PROD-948,Furniture,Chairs,Item B,2914.81,5,0.28,-270.42
ORD-103,2021-07-21,2021-09-14,Standard Class,CUST-8630,Rahul,Consumer,India,Kolkata,MH,South,PROD-851,Office Supplies,Chairs,Item C,2944.43,8,0.01,515.59
ORD-104,2023-08-16,2021-03-11,First Class,CUST-6902,Arjun,Consumer,India,Kolkata,DL,West,PROD-925,Office Supplies,Binders,Item A,2279.17,8,0.05,277.69
ORD-105,2023-09-23,2022-09-10,Second Class,CUST-7032,Arjun,Home Office,India,Mumbai,KA,East,PROD-510,Office Supplies,Phones,Item D,2099.13,8,0.5,-582.29
ORD-106,2021-09-27,2021-12-04,First Class,CUST-2825,Arjun,Home Office,India,Kolkata,DL,North,PROD-473,Furniture,Storage,Item C,4697.78,1,0.34,
ORD-107,2023-05-13,2022-11-04,First Class,CUST-4110,Priya,Consumer,India,Delhi,WB,East,PROD-184,Furniture,Phones,Item D,3024.08,4,0.34,-271.37
ORD-108,2023-03-27,2023-04-03,Standard Class,CUST-4770,Arjun,Consumer,India,Kolkata,WB,North,PROD-183,Office Supplies,Phones,Item C,4090.58,2,0.28,-368.17
ORD-109,2021-09-28,2023-05-26,Second Class,CUST-1029,Priya,Consumer,India,Bangalore,WB,West,PROD-581,Technology,Binders,Item A,4771.51,4,0.45,-1193.99
ORD-110,2022-04-01,2022-02-15,Standard Class,CUST-9958,Amit,Consumer,India,Kolkata,DL,North,PROD-442,Office Supplies,Chairs,Item A,4060.0,6,0.14,222.28
ORD-111,2022-04-07,2021-10-29,First Class,CUST-9806,Arjun,Corporate,India,Kolkata,MH,East,PROD-371,Technology,Storage,Item D,4717.75,4,,-1129.02
ORD-112,2022-12-28,2023-06-29,Second Class,CUST-3121,Priya,Corporate,India,Delhi,WB,South,PROD-105,Furniture,Phones,Item A,3808.5,5,0.05,509.36
ORD-113,2021-09-09,2022-08-27,First Class,CUST-4009,Rahul,Corporate,India,Mumbai,KA,North,PROD-563,Furniture,Chairs,Item D,892.1,3,0.49,-161.04
ORD-114,2022-12-03,2021-12-25,First Class,CUST-4819,Priya,Corporate,India,Mumbai,WB,North,PROD-618,Furniture,Phones,Item B,1173.31,2,0.41,-259.15
ORD-115,2021-10-23,2021-09-15,Second Class,CUST-8739,Sneha,Consumer,India,Kolkata,MH,West,PROD-113,Technology,Binders,Item D,1009.78,7,0.0,210.75
ORD-116,2022-12-26,2021-12-21,Second Class,CUST-9215,Priya,Consumer,India,Delhi,MH,West,PROD-102,Furniture,Binders,Item C,1644.52,6,0.03,243.89
ORD-117,2022-12-21,2023-01-04,Second Class,CUST-5059,Sneha,Consumer,India,Kolkata,MH,North,PROD-836,Office Supplies,Phones,Item D,1807.21,3,0.04,333.18
ORD-118,2023-01-19,2022-06-07,Standard Class,CUST-3910,Rahul,Corporate,India,Mumbai,WB,West,PROD-916,Office Supplies,Chairs,Item D,4065.35,9,0.34,-596.01
ORD-119,2021-12-04,2022-06-10,Standard Class,CUST-2970,Priya,Corporate,India,Mumbai,KA,West,PROD-903,Office Supplies,Phones,Item C,1836.22,6,0.34,-251.27
ORD-120,2023-05-29,2023-04-19,First Class,CUST-7655,Rahul,Consumer,India,Bangalore,KA,South,PROD-586,Furniture,Storage,Item A,3649.73,5,0.04,636.77
ORD-121,2021-02-22,2023-08-10,Second Class,CUST-5767,Sneha,Corporate,India,Bangalore,WB,North,PROD-896,Office Supplies,Phones,Item A,4523.89,8,0.22,-54.32
ORD-122,2023-03-03,2023-01-28,First Class,CUST-9762,Neha,Home Office,India,Delhi,DL,East,PROD-487,Technology,Storage,Item B,617.04,2,0.12,167.24
ORD-123,2023-07-11,2022-11-27,First Class,CUST-2242,Arjun,Corporate,India,Delhi,DL,South,PROD-586,Technology,Phones,Item A,51.29,6,0.2,2.88
ORD-124,2021-08-05,2021-10-13,First Class,CUST-1712,Sneha,Corporate,India,Mumbai,KA,West,PROD-267,Technology,Storage,Item B,4448.86,6,0.12,447.53
ORD-125,2023-02-03,2021-11-10,First Class,CUST-3866,Amit,Corporate,India,Mumbai,DL,South,PROD-505,Technology,Chairs,Item B,1229.37,7,,-14.93
ORD-126,2021-07-07,2021-04-11,First Class,CUST-7153,Priya,Corporate,India,Mumbai,DL,North,PROD-562,Office Supplies,Phones,Item B,809.52,3,0.32,
ORD-127,2022-01-15,2021-07-18,Second Class,CUST-6587,Rahul,Consumer,India,Kolkata,KA,North,PROD-231,Technology,Phones,Item A,1511.28,6,0.08,162.76
ORD-128,2022-05-08,2022-04-29,Standard Class,CUST-9827,Arjun,Home Office,India,Bangalore,DL,North,PROD-605,Office Supplies,Storage,Item C,970.83,3,0.11,141.4
ORD-129,2021-02-10,2023-05-30,Second Class,CUST-8713,Priya,Consumer,India,Bangalore,DL,East,PROD-732,Furniture,Binders,Item A,3978.58,8,0.18,34.95
ORD-130,2021-06-06,2021-08-16,Second Class,CUST-7861,Arjun,Corporate,India,Mumbai,WB,East,PROD-335,Office Supplies,Chairs,Item C,3190.81,5,,-976.15
ORD-131,2021-01-15,2023-04-27,Second Class,CUST-2297,Neha,Corporate,India,Mumbai,DL,East,PROD-122,Office Supplies,Binders,Item A,878.16,6,0.32,-117.86
ORD-132,2023-03-24,2022-09-09,Standard Class,CUST-1357,Priya,Corporate,India,Bangalore,KA,West,PROD-713,Office Supplies,Binders,Item B,2938.64,9,0.46,-806.38
ORD-133,2021-03-06,2022-09-12,Standard Class,CUST-6102,Rahul,Corporate,India,Delhi,WB,North,PROD-231,Office Supplies,Phones,Item C,1080.05,9,,-253.31
ORD-134,2023-05-07,2022-01-02,Standard Class,CUST-1240,Neha,Corporate,India,Mumbai,KA,North,PROD-551,Furniture,Phones,Item A,1027.9,5,0.28,-40.65
ORD-135,2023-04-19,2022-01-05,Second Class,CUST-7854,Priya,Home Office,India,Mumbai,WB,East,PROD-373,Office Supplies,Phones,Item A,2997.46,7,0.14,120.04
ORD-136,2022-06-05,2022-07-26,Standard Class,CUST-2826,Arjun,Consumer,India,Delhi,KA,South,PROD-100,Technology,Binders,Item D,3340.2,6,0.13,307.92
ORD-137,2021-12-10,2022-08-15,First Class,CUST-9115,Neha,Corporate,India,Mumbai,MH,South,PROD-643,Office Supplies,Chairs,Item C,1763.7,4,0.28,-163.43
ORD-138,2021-05-09,2021-03-18,Standard Class,CUST-4558,Rahul,Home Office,India,,WB,West,PROD-760,Furniture,Storage,Item B,3828.87,1,0.28,-319.15
ORD-139,2022-10-10,2021-02-13,Second Class,CUST-4860,Priya,Consumer,India,Bangalore,WB,South,PROD-265,Technology,Storage,Item B,4194.21,4,0.28,-460.74
ORD-140,2022-04-17,2022-02-28,Second Class,CUST-5447,Arjun,Consumer,India,,WB,West,PROD-509,Technology,Storage,Item C,4585.9,2,0.18,47.79
ORD-141,2021-03-04,2023-04-18,First Class,CUST-5139,Arjun,Consumer,India,Bangalore,KA,South,PROD-396,Furniture,Chairs,Item A,3149.0,8,0.35,-567.99
ORD-142,2021-05-19,2021-07-02,Standard Class,CUST-1137,Sneha,Corporate,India,Delhi,MH,South,PROD-788,Office Supplies,Binders,Item B,1139.12,2,0.2,70.49
ORD-143,2022-05-14,2022-07-01,Standard Class,CUST-4734,Neha,Corporate,India,Delhi,WB,South,PROD-952,Office Supplies,Binders,Item A,3754.9,9,0.18,147.05
ORD-144,2022-08-16,2021-03-14,First Class,CUST-2967,Priya,Home Office,India,Bangalore,MH,North,PROD-192,Office Supplies,Chairs,Item D,583.84,6,0.25,-42.25
ORD-145,2022-01-27,2022-07-24,Second Class,CUST-7579,Sneha,Home Office,India,Delhi,DL,East,PROD-728,Furniture,Phones,Item B,947.01,5,0.45,-249.06
ORD-146,2022-11-06,2021-04-17,Second Class,CUST-5849,Arjun,Consumer,India,Bangalore,WB,North,PROD-195,Furniture,Chairs,Item A,4172.3,9,0.35,-675.63
ORD-147,2022-02-23,2021-07-21,Standard Class,CUST-9334,Neha,Corporate,India,Delhi,DL,East,PROD-670,Technology,Binders,Item B,4558.61,2,0.41,-941.94
ORD-148,2021-10-16,2021-04-13,Standard Class,CUST-8167,Amit,Consumer,India,Delhi,WB,South,PROD-240,Office Supplies,Storage,Item A,380.25,1,0.27,-12.05
ORD-149,2022-01-14,2023-02-09,Standard Class,CUST-6942,Arjun,Consumer,India,Delhi,MH,East,PROD-416,Office Supplies,Storage,Item D,1595.0,9,0.27,-117.13
ORD-150,2023-02-12,2021-11-05,Standard Class,CUST-8466,Neha,Home Office,India,Bangalore,DL,North,PROD-662,Furniture,Storage,Item D,3164.43,4,0.43,-785.25
ORD-151,2022-05-05,2022-08-11,Standard Class,CUST-7405,Amit,Corporate,India,Mumbai,KA,East,PROD-866,Furniture,Phones,Item D,4696.31,2,0.07,608.27
ORD-152,2021-08-19,2022-11-16,Second Class,CUST-6515,Neha,Home Office,India,Kolkata,WB,East,PROD-702,Technology,Phones,Item A,2875.09,6,0.48,-790.85
ORD-153,2021-02-10,2022-01-14,Second Class,CUST-9051,Arjun,Corporate,India,Mumbai,WB,East,PROD-932,Office Supplies,Chairs,Item B,4113.91,1,0.26,-259.6
ORD-154,2021-01-28,2022-10-19,Second Class,CUST-3019,Amit,Consumer,India,Delhi,MH,South,PROD-404,Technology,Storage,Item B,4617.64,4,0.16,
ORD-155,2021-05-15,2022-11-11,Second Class,CUST-7174,Neha,Consumer,India,Bangalore,KA,East,PROD-276,Technology,Phones,Item A,2619.26,4,0.16,46.16
ORD-156,2021-07-20,2022-02-05,First Class,CUST-8092,Priya,Consumer,India,Delhi,WB,South,PROD-714,Furniture,Binders,Item D,3715.23,7,0.02,
